poemId	authorKo	titleKo	asset	exists	sourcePolicyId	sourceUrl	copyrightStatus	usageClass	publicDisplayAllowedNow	commercialAllowedNow	requiresPermissionForCommercial	mustReplaceBeforeCommercial	replacementPriority	attributionRequired	recordCommercialReady	blockingAssets	replacementRequired
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0018	최치원	贈雲門蘭若智光上人	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
